epoch,start_epoch,loss,accuracy,learning_rate,train_time,optimizer,scheduler_step_size
1,0,3.8590231916534847,0.11048380773151414,0.001,1648.1362309455872,SGD,50
2,0,3.474472723371383,0.16490237591155021,0.001,1650.7263157367706,SGD,50
3,0,3.2270418362066735,0.20152121069552262,0.001,1649.385717868805,SGD,50
4,0,3.0561007326054757,0.23633654826315376,0.001,1651.9019267559052,SGD,50
5,0,2.894283340162907,0.28056143652473925,0.001,799.2846858501434,SGD,50
6,0,2.751607624678521,0.30808437230455576,0.001,798.5062880516052,SGD,50
7,0,2.6002525263072687,0.33654826315376773,0.001,799.8292701244354,SGD,50
8,0,2.4634083227616594,0.3715988394887477,0.001,797.5449931621552,SGD,50
9,0,2.3326129509422495,0.402885595546146,0.001,797.779326915741,SGD,50
10,0,2.1985911291402562,0.42970281502391594,0.001,798.1165976524353,SGD,50
